Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-04,109,Princeton                ,27,1191
{"":"2024-08-04,111,Kildeer                  ,18,1052.5
{"":"2024-08-04,113,Louisville               ,19,992.5
{"":"2024-08-04,116,Homestead                ,9,329.5
{"":"2024-08-04,121,Chicago                  ,16,1410.5
{"":"2024-08-04,122,Coon Rapids              ,0,0
{"":"2024-08-04,123,Edgewater                ,16,767.5
{"":"2024-08-04,124,Citrus Heights           ,34,1938.5
{"":"2024-08-04,125,Holmdel                  ,9,426.5
{"":"2024-08-04,126,Cary                     ,11,331
{"":"2024-08-04,128,Oklahoma City            ,17,862
{"":"2024-08-04,129,Lexington                ,10,377
{"":"2024-08-04,131,Tulsa                    ,12,565.5
{"":"2024-08-04,132,Carlsbad                 ,51,2585.5
{"":"2024-08-04,133,Colorado Springs         ,16,548.5
{"":"2024-08-04,134,Charlotte                ,8,388.5
{"":"2024-08-04,135,Oceanside                ,30,1378.5
{"":"2024-08-04,136,Maple Grove              ,30,1473
{"":"2024-08-04,137,Skokie                   ,33,2939.5
{"":"2024-08-04,142,Springfield              ,26,1161
{"":"2024-08-04,143,Pasadena                 ,43,2009
{"":"2024-08-04,146,Chino                    ,37,1616
{"":"2024-08-04,147,Charlotte                ,20,928
{"":"2024-08-04,148,Dublin                   ,11,615.5
{"":"2024-08-04,149,Houston                  ,16,600.5
{"":"2024-08-04,150,Houston                  ,19,786.5
{"":"2024-08-04,151,Fort Myers               ,20,777.5
{"":"2024-08-04,152,Orlando                  ,17,730
{"":"2024-08-04,153,Tampa                    ,8,400
{"":"2024-08-04,155,Cerritos                 ,26,1083.5
{"":"2024-08-04,156,West Hollywood           ,25,943.5
{"":"2024-08-04,157,Goodyear                 ,37,1801.5
{"":"2024-08-04,160,Miami                    ,29,1515.5
{"":"2024-08-04,161,Pembroke Pines           ,27,1148.5
{"":"2024-08-04,164,Fredericksburg           ,31,2053.5
{"":"2024-08-04,165,Pearland                 ,34,1361
{"":"2024-08-04,167,Rockville                ,28,1803.5
{"":"2024-08-04,168,Indianapolis             ,19,774
{"":"2024-08-04,170,Tucson                   ,14,644
{"":"2024-08-04,171,Richmond                 ,25,951
{"":"2024-08-04,173,Woodbury                 ,20,949
{"":"2024-08-04,174,Upland                   ,32,1762.5
{"":"2024-08-04,176,Surprise                 ,24,1331
{"":"2024-08-04,177,Brookfield               ,20,1161
{"":"2024-08-04,178,Fairfax                  ,17,871.5
{"":"2024-08-04,179,Burleson                 ,18,886.5
{"":"2024-08-04,180,Lynnwood                 ,22,1020
{"":"2024-08-04,181,Durham                   ,16,789
{"":"2024-08-04,183,Gilbert                  ,39,1924.5
{"":"2024-08-04,184,Phoenix                  ,16,833
{"":"2024-08-04,185,Tempe                    ,22,946.5
{"":"2024-08-04,186,Rockaway                 ,9,475.5
{"":"2024-08-04,187,Dallas                   ,13,456.5
{"":"2024-08-04,188,Beaverton                ,14,744.5
{"":"2024-08-04,189,Sacramento               ,37,1936.5
{"":"2024-08-04,191,Tukwila                  ,20,960
{"":"2024-08-04,192,Greenville               ,28,1191
{"":"2024-08-04,193,Wilmington               ,21,866
{"":"2024-08-04,199,Tucson                   ,22,935
{"":"2024-08-04,200,Estero                   ,7,505
{"":"2024-08-04,201,Mt. Pleasant             ,23,785
{"":"2024-08-04,203,Sparks                   ,14,745.5
{"":"2024-08-04,204,Altoona                  ,17,990
{"":"2024-08-04,205,Arlington                ,12,435.5
{"":"2024-08-04,207,Columbia                 ,16,933.5
{"":"2024-08-04,208,Tustin                   ,28,1250
{"":"2024-08-04,209,York                     ,13,639
{"":"2024-08-04,210,Tinley Park              ,30,1453
{"":"2024-08-04,211,Plainfield               ,16,1573.5
{"":"2024-08-04,212,Corona                   ,17,816.5
{"":"2024-08-04,213,Baltimore                ,33,1431.5
{"":"2024-08-04,214,Middletown               ,9,567
{"":"2024-08-04,215,Winter Park              ,20,1186.5
{"":"2024-08-04,216,San Antonio              ,47,2399.5
{"":"2024-08-04,217,Farmington Hills         ,10,327.5
{"":"2024-08-04,219,Fayetteville             ,22,735
{"":"2024-08-04,220,Cumming                  ,8,284.5
{"":"2024-08-04,221,Cedar Rapids             ,24,1168
{"":"2024-08-04,222,Savannah                 ,19,1017.5
{"":"2024-08-04,223,Atlanta                  ,35,1134.5
{"":"2024-08-04,224,Beaumont                 ,13,502.5
{"":"2024-08-04,225,Mesa                     ,10,696.5
{"":"2024-08-04,227,Las Vegas                ,10,269.5
{"":"2024-08-04,228,Peoria                   ,11,537
{"":"2024-08-04,229,Winter Garden            ,31,1491
{"":"2024-08-04,230,McKinney                 ,16,683
{"":"2024-08-04,231,Mooresville              ,35,2108.5
{"":"2024-08-04,232,Lubbock                  ,15,843.5
{"":"2024-08-04,233,Vancouver                ,26,1328
{"":"2024-08-04,234,McHenry                  ,9,411.5
{"":"2024-08-04,235,Elkridge                 ,28,1180.5
{"":"2024-08-04,236,Fort Smith               ,13,520
{"":"2024-08-04,237,Jackson                  ,18,781.5
{"":"2024-08-04,238,Brighton                 ,20,1020
{"":"2024-08-04,239,Fairfax                  ,39,2071
{"":"2024-08-04,241,Burlington               ,11,516
{"":"2024-08-04,244,San Marcos               ,44,2397
{"":"2024-08-04,245,Oswego                   ,15,474.5
{"":"2024-08-04,246,Mechanicsburg            ,27,1176.5
{"":"2024-08-04,247,Wellington               ,24,1028.5
{"":"2024-08-04,251,Apex                     ,15,824.5
{"":"2024-08-04,252,Longmont                 ,13,791.5
{"":"2024-08-04,253,Wesley Chapel            ,27,1123
{"":"2024-08-04,254,Murfreesboro             ,23,840.5
{"":"2024-08-04,255,Roseville                ,11,673
{"":"2024-08-04,257,Orion Township           ,10,372
{"":"2024-08-04,258,Tualatin                 ,31,1877
{"":"2024-08-04,259,Conroe                   ,4,237
{"":"2024-08-04,260,Burbank                  ,15,279
{"":"2024-08-04,261,Chesterfield             ,12,552
{"":"2024-08-04,262,Columbus                 ,21,850.5
{"":"2024-08-04,263,Dayton                   ,12,519.5
{"":"2024-08-04,264,Omaha                    ,3,175
{"":"2024-08-04,265,Horsham                  ,25,1326.5
{"":"2024-08-04,266,Sandy                    ,19,1237.5
{"":"2024-08-04,267,Walker                   ,8,255
{"":"2024-08-04,268,Modesto                  ,31,1546
{"":"2024-08-04,269,Bolingbrook              ,15,571
{"":"2024-08-04,270,Rockwall                 ,13,678
{"":"2024-08-04,271,Austin                   ,15,761
{"":"2024-08-04,272,Port Saint Lucie         ,37,1847
{"":"2024-08-04,273,Hamilton                 ,13,708.5
{"":"2024-08-04,274,Strongsville             ,8,367
{"":"2024-08-04,275,Flower Mound             ,22,1308
{"":"2024-08-04,276,Myrtle Beach             ,16,609.5
{"":"2024-08-04,277,Algonquin                ,10,340
{"":"2024-08-04,278,Amarillo                 ,21,967.5
{"":"2024-08-04,279,San Jose                 ,8,301
{"":"2024-08-04,280,Oklahoma City            ,4,124
{"":"2024-08-04,282,Sarasota                 ,18,836
{"":"2024-08-04,283,Naples                   ,23,1371
{"":"2024-08-04,284,Cherry Hill              ,28,1595
{"":"2024-08-04,285,Canton                   ,20,791.5
{"":"2024-08-04,286,Fresno                   ,27,1657.5
{"":"2024-08-04,288,Burnsville               ,12,339.5
{"":"2024-08-04,289,Plymouth                 ,13,587
{"":"2024-08-04,290,Dothan                   ,32,1395
{"":"2024-08-04,291,Fairview Park            ,11,542
{"":"2024-08-04,292,Papillion                ,9,434.5
{"":"2024-08-04,294,Manchester               ,12,539
{"":"2024-08-04,295,Jacksonville             ,27,1453
{"":"2024-08-04,296,Casa Grande              ,11,463.5
{"":"2024-08-04,298,Montgomery               ,4,156.5
{"":"2024-08-04,300,Harker Heights           ,11,551
{"":"2024-08-04,301,Las Vegas                ,13,364.5
{"":"2024-08-04,302,El Paso                  ,8,168
{"":"2024-08-04,303,El Paso                  ,25,1323.5
{"":"2024-08-04,304,Mentor                   ,2,17
{"":"2024-08-04,305,Fort Worth               ,19,841.5
{"":"2024-08-04,307,San Antonio              ,9,361.5
{"":"2024-08-04,308,Chattanooga              ,22,777.5
{"":"2024-08-04,309,New Hartford             ,18,840
{"":"2024-08-04,311,Tuscaloosa               ,11,386.5
{"":"2024-08-04,312,Slidell                  ,7,273
{"":"2024-08-04,313,Grand Junction           ,30,1352.5
{"":"2024-08-04,314,Stockton                 ,25,1048
{"":"2024-08-04,315,Noblesville              ,11,389.5
{"":"2024-08-04,316,Memphis                  ,7,250.5
{"":"2024-08-04,317,Midland                  ,17,883
{"":"2024-08-04,319,Henrietta                ,30,1556.5
{"":"2024-08-04,321,Everett                  ,16,929.5
{"":"2024-08-04,322,Gresham                  ,22,954
{"":"2024-08-04,324,Webster                  ,15,812.5
{"":"2024-08-04,325,Destin                   ,6,273.5
{"":"2024-08-04,326,College Station          ,11,345.5
{"":"2024-08-04,329,Ocala                    ,0,0
{"":"2024-08-04,330,Springfield              ,21,896.5
{"":"2024-08-04,331,Greensboro               ,21,880
{"":"2024-08-04,332,Amherst                  ,19,904.5
{"":"2024-08-04,333,Fort Collins             ,12,483.5
{"":"2024-08-04,334,Des Moines               ,13,809.5
{"":"2024-08-04,335,Kissimmee                ,14,737
{"":"2024-08-04,336,Birmingham               ,8,291
{"":"2024-08-04,337,Baton Rouge              ,10,326
{"":"2024-08-04,338,Bourbonnais              ,9,392
{"":"2024-08-04,339,Huntsville               ,8,257
{"":"2024-08-04,341,Mason                    ,17,759.5
{"":"2024-08-04,342,Allen Park               ,11,225
{"":"2024-08-04,343,Kansas City              ,16,836.5
{"":"2024-08-04,344,Shreveport               ,5,117.5
{"":"2024-08-04,345,Pleasant Prairie         ,18,886.5
{"":"2024-08-04,347,Weatherford              ,20,926.5
{"":"2024-08-04,348,Portage                  ,9,414.5
{"":"2024-08-04,349,Okemos                   ,7,285
{"":"2024-08-04,350,Macon                    ,19,852.5
{"":"2024-08-04,351,Rochester                ,22,1204
{"":"2024-08-04,352,Toledo                   ,8,248
{"":"2024-08-04,353,Brentwood                ,20,853.5
{"":"2024-08-04,354,Gilbert                  ,12,514
{"":"2024-08-04,355,Oro Valley               ,12,672.5
{"":"2024-08-04,356,Queen Creek              ,23,970
{"":"2024-08-04,357,Midwest City             ,7,209.5
{"":"2024-08-04,358,San Diego                ,18,844.5
{"":"2024-08-04,359,Yorkville                ,13,546
{"":"2024-08-04,360,Hagerstown               ,15,586.5
{"":"2024-08-04,361,San Antonio              ,40,2332
{"":"2024-08-04,362,Collegeville             ,22,1033
{"":"2024-08-04,363,West Melbourne           ,27,1173.5
{"":"2024-08-04,364,Port Orange              ,24,1414
{"":"2024-08-04,365,Wichita Falls            ,17,607.5
{"":"2024-08-04,366,Sterling                 ,13,384.5
{"":"2024-08-04,367,Annapolis                ,30,1532.5
{"":"2024-08-04,368,Greenville               ,12,568.5
{"":"2024-08-04,369,Allentown                ,32,1670
{"":"2024-08-04,370,Rockford                 ,18,912
{"":"2024-08-04,371,Riverdale                ,15,762.5
{"":"2024-08-04,372,Kingsport                ,10,518.5
{"":"2024-08-04,373,Hammond                  ,7,320
{"":"2024-08-04,374,Sunset Valley            ,30,1633.5
{"":"2024-08-04,375,Chesterfield             ,13,674
{"":"2024-08-04,376,Asheville                ,22,1400.5
{"":"2024-08-04,377,Jacksonville             ,27,1316
{"":"2024-08-04,378,Manahawkin               ,36,2012.5
{"":"2024-08-04,379,Opelika                  ,14,644.5
{"":"2024-08-04,380,Virginia Beach           ,18,924.5
{"":"2024-08-04,382,Palmdale                 ,9,590.5
{"":"2024-08-04,383,Lexington                ,10,612.5
{"":"2024-08-04,384,Highland                 ,23,1096
{"":"2024-08-04,385,Fort Lauderdale          ,19,945
{"":"2024-08-04,388,San Antonio              ,17,722.5
{"":"2024-08-04,389,Folsom                   ,61,3400
{"":"2024-08-04,390,Tulsa                    ,18,789.5
{"":"2024-08-04,391,Tyler                    ,34,1501
{"":"2024-08-04,392,Flowood                  ,6,287.5
{"":"2024-08-04,393,Horseheads               ,4,312
{"":"2024-08-04,394,Union Gap                ,16,897
{"":"2024-08-04,395,Bloomington              ,15,703.5
{"":"2024-08-04,396,Camillus                 ,11,398.5
{"":"2024-08-04,397,Dallas                   ,31,1249.5
{"":"2024-08-04,398,West Jordan              ,18,831.5
{"":"2024-08-04,399,Maywood                  ,9,334.5
{"":"2024-08-04,400,River Forest             ,25,1477.5
{"":"2024-08-04,402,Irving                   ,13,698
{"":"2024-08-04,403,Houston                  ,30,1177.5
{"":"2024-08-04,404,Glen Allen               ,30,1375
{"":"2024-08-04,405,Corpus Christi           ,12,446
{"":"2024-08-04,406,Tupelo                   ,4,84
{"":"2024-08-04,407,D'Iberville              ,9,310.5
{"":"2024-08-04,408,Anderson                 ,17,799.5
{"":"2024-08-04,409,Abilene                  ,15,796.5
{"":"2024-08-04,410,Fairview Heights         ,13,664.5
{"":"2024-08-04,411,Portland                 ,62,2918
{"":"2024-08-04,412,Augusta                  ,23,923
{"":"2024-08-04,414,Aurora                   ,20,1262
{"":"2024-08-04,415,Longview                 ,14,587.5
{"":"2024-08-04,416,Wilkes Barre             ,18,857
{"":"2024-08-04,417,Fayetteville             ,25,1127.5
{"":"2024-08-04,418,Ashwaubenon              ,42,1716.5
{"":"2024-08-04,419,Rogers                   ,33,1878
{"":"2024-08-04,420,Duluth                   ,9,478
{"":"2024-08-04,421,Avon                     ,13,760.5
{"":"2024-08-04,422,Columbus                 ,13,566
{"":"2024-08-04,423,Chicago                  ,2,-624.5
{"":"2024-08-04,424,Columbus                 ,18,564.5
{"":"2024-08-04,425,Summerville              ,17,861.5
{"":"2024-08-04,426,Cincinnati               ,11,755
{"":"2024-08-04,427,Quakertown               ,13,706.5
{"":"2024-08-04,428,Davenport                ,26,931.5
{"":"2024-08-04,429,Littleton                ,22,1084
{"":"2024-08-04,430,Schaumburg               ,4,120
{"":"2024-08-04,431,Laredo                   ,55,3116
{"":"2024-08-04,432,Holland                  ,19,1193
{"":"2024-08-04,433,Santa Rosa               ,36,1880.5
{"":"2024-08-04,434,Chandler                 ,22,1540.5
{"":"2024-08-04,435,Manchester               ,19,794
{"":"2024-08-04,436,Albuquerque              ,28,1432.5
{"":"2024-08-04,437,Brandon                  ,60,2944
{"":"2024-08-04,438,Sandusky                 ,11,765
{"":"2024-08-04,439,Kokomo                   ,23,2672
{"":"2024-08-04,440,Charlottesville          ,13,714
{"":"2024-08-04,441,Akron                    ,8,389
{"":"2024-08-04,442,Troy                     ,9,109
{"":"2024-08-04,443,Sheboygan Falls          ,7,277
{"":"2024-08-04,444,Norman                   ,11,408
{"":"2024-08-04,446,Denton                   ,13,673.5
{"":"2024-08-04,447,Brunswick                ,9,421.5
{"":"2024-08-04,448,Aventura                 ,17,658.5
{"":"2024-08-04,449,Bozeman                  ,44,2271.5
{"":"2024-08-04,450,Manchester               ,26,1125
{"":"2024-08-04,451,Northborough             ,12,412.5
{"":"2024-08-04,452,Glendora                 ,65,2992
{"":"2024-08-04,453,Bloomingdale             ,36,2166.8
{"":"2024-08-04,455,Farmington               ,17,791.5
{"":"2024-08-04,456,Gastonia                 ,19,1005.5
{"":"2024-08-04,457,Redondo Beach            ,73,3551
{"":"2024-08-04,458,Peabody                  ,21,961
{"":"2024-08-04,459,Saint George             ,13,555.5
{"":"2024-08-04,460,Nampa                    ,14,737
{"":"2024-08-04,461,Garner                   ,6,209
{"":"2024-08-04,462,Columbia                 ,9,314
{"":"2024-08-04,463,Denham Springs           ,7,195.5
{"":"2024-08-04,464,Keizer                   ,17,789
{"":"2024-08-04,465,Fargo                    ,15,974
{"":"2024-08-04,466,Champaign                ,12,460
{"":"2024-08-04,467,Lake Forest              ,9,403
{"":"2024-08-04,468,Bossier City             ,13,670
{"":"2024-08-04,469,Bakersfield              ,23,1019.5
{"":"2024-08-04,472,Wichita                  ,23,954
{"":"2024-08-04,473,Muncy                    ,7,309
{"":"2024-08-04,474,Valencia                 ,43,1679.5
{"":"2024-08-04,475,Woodhaven                ,12,344
{"":"2024-08-04,477,Madison                  ,12,480.5
{"":"2024-08-04,478,Mobile                   ,9,401
{"":"2024-08-04,479,Boardman                 ,20,998
{"":"2024-08-04,480,Mayfield Heights         ,14,603.5
{"":"2024-08-04,481,Wichitam                 ,8,365.5
{"":"2024-08-04,482,Hendersonville           ,31,1532
{"":"2024-08-04,484,Pittsburgh               ,13,520
{"":"2024-08-04,485,Novi                     ,9,352
{"":"2024-08-04,486,Glorence                 ,9,515.5
{"":"2024-08-04,487,Marietta                 ,21,860.5
{"":"2024-08-04,489,Frederick                ,26,1326
{"":"2024-08-04,490,Bowling Green            ,4,154.5
{"":"2024-08-04,491,Garland                  ,11,705.5
{"":"2024-08-04,492,San Jose                 ,17,1036.5
{"":"2024-08-04,493,Beaverton                ,11,629
{"":"2024-08-04,494,Odessa                   ,15,735
{"":"2024-08-04,495,Nashua                   ,24,1458.5
{"":"2024-08-04,496,Winchester               ,21,1380.5
{"":"2024-08-04,497,Medford                  ,20,939.5
{"":"2024-08-04,498,Beavercreek              ,5,201.5
{"":"2024-08-04,499,Rancho Santa Margarita   ,21,1071.5
{"":"2024-08-04,500,San Angelo               ,5,107
{"":"2024-08-04,501,Blue Springs             ,11,589.5
{"":"2024-08-04,502,Redmond                  ,33,1777
{"":"2024-08-04,503,Columbia                 ,17,754.5
{"":"2024-08-04,504,Peoria                   ,13,629
{"":"2024-08-04,505,Shelby Township          ,2,84.5
{"":"2024-08-04,506,Owensboro                ,7,417
{"":"2024-08-04,507,Norton Shores            ,6,287
{"":"2024-08-04,508,Daphne                   ,15,681.5
{"":"2024-08-04,509,Monroe                   ,20,960
{"":"2024-08-04,510,South Ramsey             ,21,897.5
{"":"2024-08-04,511,Watertown                ,9,535
{"":"2024-08-04,513,Apple Valley             ,14,812.5
{"":"2024-08-04,514,Evansville               ,12,651.5
{"":"2024-08-04,515,Joplin                   ,6,206
{"":"2024-08-04,516,Bloomfield Hills         ,11,273.5
{"":"2024-08-04,518,East Brunswick           ,5,410
{"":"2024-08-04,519,Bee Cave                 ,17,939.5
{"":"2024-08-04,520,Palm Desert              ,22,1049.5
{"":"2024-08-04,521,Carrollton               ,5,221.5
{"":"2024-08-04,522,Saginaw                  ,13,723.5
{"":"2024-08-04,523,Fort Gratiot             ,4,277
{"":"2024-08-04,524,Dubuque                  ,14,536.5
{"":"2024-08-04,525,Garden City              ,7,272
{"":"2024-08-04,526,Braintree                ,18,983
{"":"2024-08-04,527,Waldorf                  ,57,2753
{"":"2024-08-04,528,Norcross                 ,13,557.5
{"":"2024-08-04,529,Harahan                  ,8,363.5
{"":"2024-08-04,530,Augusta                  ,20,817
{"":"2024-08-04,531,Clearwater               ,0,0
{"":"2024-08-04,532,Council Bluffs           ,11,399
{"":"2024-08-04,533,Covington                ,12,470
{"":"2024-08-04,535,Lincoln                  ,20,929.5
{"":"2024-08-04,536,Pasadena                 ,12,508
{"":"2024-08-04,537,Sanford                  ,20,772
{"":"2024-08-04,538,Stuart                   ,15,663
{"":"2024-08-04,539,Temple                   ,16,536.5
{"":"2024-08-04,540,Westminster              ,12,587
{"":"2024-08-04,541,Flint                    ,2,-88
{"":"2024-08-04,542,Lancaster                ,11,634
{"":"2024-08-04,543,Vestal                   ,9,423.5
{"":"2024-08-04,544,Garden city              ,29,1127
{"":"2024-08-04,545,Vacaville                ,27,1628
{"":"2024-08-04,546,El Paso                  ,10,744
{"":"2024-08-04,547,Goleta                   ,17,679
{"":"2024-08-04,548,Hanover                  ,12,773
{"":"2024-08-04,549,Allen                    ,5,205
{"":"2024-08-04,550,Florence                 ,16,656.5
{"":"2024-08-04,551,Morgantown               ,23,1184.5
{"":"2024-08-04,552,Benton Harbor            ,3,102
{"":"2024-08-04,553,Lee's Summit             ,18,1054.5
{"":"2024-08-04,554,East Pupyallup           ,23,1094
{"":"2024-08-04,555,Leesburg                 ,18,836
{"":"2024-08-04,556,Springfield              ,24,1220
{"":"2024-08-04,557,Arlington                ,11,295.5
{"":"2024-08-04,558,Williamsburg             ,15,826.5
{"":"2024-08-04,559,Warsaw                   ,2,104
{"":"2024-08-04,561,Char                     ,19,939
{"":"2024-08-04,562,Culver City              ,42,1834.5
{"":"2024-08-04,563,Township                 ,15,476.5
{"":"2024-08-04,564,Stillwater               ,9,351.5
{"":"2024-08-04,565,Stow                     ,14,495
{"":"2024-08-04,566,Spring                   ,16,740.5
{"":"2024-08-04,567,South richmond           ,17,816
{"":"2024-08-04,568,Colma                    ,29,1619.5
{"":"2024-08-04,569,Huntington               ,21,1062.5
{"":"2024-08-04,570,Gainesville              ,23,1127
{"":"2024-08-04,571,Rosenburg                ,7,270
{"":"2024-08-04,573,Solon                    ,10,303.5
{"":"2024-08-04,574,Boise                    ,16,891
{"":"2024-08-04,575,Turlock                  ,0,0
{"":"2024-08-04,576,Coral Springs            ,22,1254
{"":"2024-08-04,577,Rib Mountain             ,3,82.5
{"":"2024-08-04,578,Boca Raton               ,5,-7.5
{"":"2024-08-04,579,Tracy                    ,13,548.5
{"":"2024-08-04,580,Grand Rapids             ,4,238.5
{"":"2024-08-04,581,Davie                    ,21,1060.5
{"":"2024-08-04,582,Fenton                   ,17,803
{"":"2024-08-04,583,El Cajon                 ,25,1008.5
{"":"2024-08-04,584,Traverse City            ,6,380
{"":"2024-08-04,585,Florissant               ,11,533.5
{"":"2024-08-04,586,Plano                    ,19,1087.5
{"":"2024-08-04,587,McDonough                ,34,1479
{"":"2024-08-04,588,San Diego                ,60,2964.5
{"":"2024-08-04,589,Holly Springs            ,18,781.5
{"":"2024-08-04,590,Charlotte                ,24,1135
{"":"2024-08-04,591,Waukesha                 ,12,657
{"":"2024-08-04,592,D'Alene                  ,20,1100
{"":"2024-08-04,593,Sand City                ,21,1107
{"":"2024-08-04,594,Port Charles             ,8,279.5
{"":"2024-08-04,595,Bangor                   ,24,1471
{"":"2024-08-04,596,Pensacola                ,19,740
{"":"2024-08-04,597,Long Bech                ,19,868.5
{"":"2024-08-04,598,Cincinnati               ,3,87.5
{"":"2024-08-04,599,Newington                ,37,2402.5
{"":"2024-08-04,600,Springfield              ,25,1185
{"":"2024-08-04,601,Grandville               ,22,1145
{"":"2024-08-04,602,Gabrills                 ,30,1550
{"":"2024-08-04,603,Florence                 ,3,118
{"":"2024-08-04,604,Seal Beach               ,27,1242
{"":"2024-08-04,605,Wauwatosa                ,14,817.5
{"":"2024-08-04,606,Petaluma                 ,10,521.5
{"":"2024-08-04,607,West Richfield           ,9,521.5
{"":"2024-08-04,608,Roanoke                  ,10,683
{"":"2024-08-04,609,Spartanburg              ,25,1178.5
{"":"2024-08-04,610,Little Rock              ,8,200.5
{"":"2024-08-04,611,Eau Claire               ,20,940.5
{"":"2024-08-04,613,DeKalb                   ,13,577
{"":"2024-08-04,614,San Ysidro               ,7,418
{"":"2024-08-04,615,Palm Beach Gardens       ,26,1488
{"":"2024-08-04,616,Dobbs Ferry              ,16,637
{"":"2024-08-04,617,Staten Island            ,7,121.5
{"":"2024-08-04,618,Houston                  ,34,1367
{"":"2024-08-04,619,Lisbon                   ,11,445
{"":"2024-08-04,620,Newport beach            ,19,972
{"":"2024-08-04,621,Livonia                  ,7,254.5
{"":"2024-08-04,622,Orem                     ,12,618
{"":"2024-08-04,623,Clifton                  ,29,1368.5
{"":"2024-08-04,624,Bluffton                 ,9,409
{"":"2024-08-04,626,Ann Arbor                ,4,208
{"":"2024-08-04,627,Madison                  ,16,727
{"":"2024-08-04,628,Madison                  ,15,729.5
{"":"2024-08-04,629,Woodbridge               ,47,2301
{"":"2024-08-04,630,Lake Worth               ,17,684
{"":"2024-08-04,631,Knoxville                ,3,123.5
{"":"2024-08-04,633,Martinsburg              ,19,862.5
{"":"2024-08-04,634,Branson                  ,8,270
{"":"2024-08-04,635,Clovis                   ,27,1171
{"":"2024-08-04,636,Hanford                  ,15,748.5
{"":"2024-08-04,637,Alameda                  ,33,1387.5
{"":"2024-08-04,638,Sevierville              ,11,482.5
{"":"2024-08-04,639,Spring Hill              ,10,520.5
{"":"2024-08-04,640,Athens                   ,18,994
{"":"2024-08-04,641,Overland Park            ,6,196
{"":"2024-08-04,642,Carmel                   ,34,3134
{"":"2024-08-04,643,Overland Park            ,7,289
{"":"2024-08-04,644,Columbia                 ,4,150.5
{"":"2024-08-04,645,Eureka                   ,26,1395
{"":"2024-08-04,646,Glendale                 ,8,403
{"":"2024-08-04,647,Carson City              ,16,837.5
{"":"2024-08-04,648,Napa                     ,33,1599.5
{"":"2024-08-04,649,East Peoria              ,6,402
{"":"2024-08-04,650,Fremont                  ,20,1160
{"":"2024-08-04,651,Houston                  ,31,2224.5
{"":"2024-08-04,652,New Braunfels            ,46,2272
{"":"2024-08-04,653,North Olmsted            ,2,169
{"":"2024-08-04,654,Brentwood                ,23,1215
{"":"2024-08-04,655,Oxnard                   ,36,1772
{"":"2024-08-04,656,Heath                    ,13,583
{"":"2024-08-04,657,Salisbury                ,32,1959.5
{"":"2024-08-04,658,Royal Oak                ,13,535
{"":"2024-08-04,659,Freehold                 ,5,208
{"":"2024-08-04,660,Foxboruogh               ,11,610.5
{"":"2024-08-04,661,Howell                   ,20,888
{"":"2024-08-04,662,Chicago                  ,23,1710
