Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-04,7,Orland Park              ,33,1562.5
{"":"2024-08-04,8,Wheaton                  ,43,2017.5
{"":"2024-08-04,12,Hodgkins                 ,25,1992
{"":"2024-08-04,23,Chicago                  ,19,1447.5
{"":"2024-08-04,25,Kennesaw                 ,19,792.5
{"":"2024-08-04,33,Scottsdale               ,9,401
{"":"2024-08-04,35,Phoenix                  ,34,1547.5
{"":"2024-08-04,37,Phoenix                  ,17,874.5
{"":"2024-08-04,40,Norridge                 ,4,-466.5
{"":"2024-08-04,41,Merrillville             ,16,680.5
{"":"2024-08-04,43,Smyrna                   ,22,739.5
{"":"2024-08-04,44,Chicago                  ,27,1580.5
{"":"2024-08-04,47,Peoria                   ,23,870.5
{"":"2024-08-04,54,Levittown                ,15,462
{"":"2024-08-04,55,Lake Grove               ,12,342.5
{"":"2024-08-04,58,Littleton                ,27,1438.5
{"":"2024-08-04,65,Minnetonka               ,7,193
{"":"2024-08-04,66,Patchogue                ,17,879
{"":"2024-08-04,67,Gurnee                   ,21,946.5
{"":"2024-08-04,68,Commack                  ,19,848.5
{"":"2024-08-04,69,Geneva                   ,31,2476
{"":"2024-08-04,70,Denver                   ,26,1074
{"":"2024-08-04,72,Atlanta                  ,28,1309
{"":"2024-08-04,75,Austin                   ,37,1520.5
{"":"2024-08-04,77,Scottsdale               ,51,2835
{"":"2024-08-04,80,Buford                   ,26,1201
{"":"2024-08-04,82,Fort Worth               ,42,1968.5
{"":"2024-08-04,83,Humble                   ,24,1368
{"":"2024-08-04,86,Wilmington               ,31,1105
{"":"2024-08-04,87,Plano                    ,6,402
{"":"2024-08-04,90,Naperville               ,33,1618
{"":"2024-08-04,91,Round Rock               ,21,872.5
{"":"2024-08-04,92,Southlake                ,14,695.5
{"":"2024-08-04,93,Katy                     ,28,1326
{"":"2024-08-04,94,Hurst                    ,8,452.5
{"":"2024-08-04,95,Lakewood                 ,18,829
{"":"2024-08-04,96,Wyomissing               ,25,1039
{"":"2024-08-04,97,Skokie                   ,14,534.5
{"":"2024-08-04,98,Frisco                   ,31,1587
{"":"2024-08-04,99,Chandler                 ,39,2121
{"":"2024-08-04,100,Las Vegas                ,28,1120.5
{"":"2024-08-04,101,Plymouth Meeting         ,24,1050.5
{"":"2024-08-04,103,Roseville                ,54,2864.8
{"":"2024-08-04,104,Mount Laurel             ,18,673.5
{"":"2024-08-04,105,Woodstock                ,8,320
{"":"2024-08-04,106,Marlton                  ,25,1481
{"":"2024-08-04,108,Phoenix                  ,22,1162
