Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-18,214,Middletown               ,13,646
{"":"2024-08-18,215,Winter Park              ,14,580
{"":"2024-08-18,216,San Antonio              ,32,1486
{"":"2024-08-18,217,Farmington Hills         ,8,299.5
{"":"2024-08-18,219,Fayetteville             ,32,1742.5
{"":"2024-08-18,220,Cumming                  ,6,286.5
{"":"2024-08-18,221,Cedar Rapids             ,24,1208.5
{"":"2024-08-18,222,Savannah                 ,15,640
{"":"2024-08-18,223,Atlanta                  ,24,1341
{"":"2024-08-18,224,Beaumont                 ,20,932.5
{"":"2024-08-18,225,Mesa                     ,27,1309
{"":"2024-08-18,227,Las Vegas                ,6,-714
{"":"2024-08-18,228,Peoria                   ,8,315
{"":"2024-08-18,229,Winter Garden            ,22,940
{"":"2024-08-18,230,McKinney                 ,14,934.5
{"":"2024-08-18,231,Mooresville              ,27,1634
{"":"2024-08-18,232,Lubbock                  ,15,702.5
{"":"2024-08-18,233,Vancouver                ,13,575.5
{"":"2024-08-18,234,McHenry                  ,14,835.5
{"":"2024-08-18,235,Elkridge                 ,22,1106
{"":"2024-08-18,236,Fort Smith               ,12,478.5
{"":"2024-08-18,237,Jackson                  ,14,743
{"":"2024-08-18,238,Brighton                 ,16,619
{"":"2024-08-18,239,Fairfax                  ,34,1677.5
{"":"2024-08-18,241,Burlington               ,9,349
{"":"2024-08-18,244,San Marcos               ,32,1479.5
{"":"2024-08-18,245,Oswego                   ,18,736.5
{"":"2024-08-18,246,Mechanicsburg            ,26,1145
{"":"2024-08-18,247,Wellington               ,32,1364
{"":"2024-08-18,251,Apex                     ,10,793.5
{"":"2024-08-18,252,Longmont                 ,23,1443.5
{"":"2024-08-18,253,Wesley Chapel            ,28,1385
{"":"2024-08-18,254,Murfreesboro             ,14,753.5
{"":"2024-08-18,255,Roseville                ,31,1606
{"":"2024-08-18,257,Orion Township           ,13,577
{"":"2024-08-18,258,Tualatin                 ,17,774.5
{"":"2024-08-18,259,Conroe                   ,11,590.5
{"":"2024-08-18,260,Burbank                  ,18,589
{"":"2024-08-18,261,Chesterfield             ,6,208
{"":"2024-08-18,262,Columbus                 ,17,815.5
{"":"2024-08-18,263,Dayton                   ,22,1130
{"":"2024-08-18,264,Omaha                    ,5,214
{"":"2024-08-18,265,Horsham                  ,19,872.5
{"":"2024-08-18,266,Sandy                    ,28,1064
{"":"2024-08-18,267,Walker                   ,10,570.5
{"":"2024-08-18,268,Modesto                  ,41,1694
{"":"2024-08-18,269,Bolingbrook              ,18,696
{"":"2024-08-18,270,Rockwall                 ,22,1292.5
{"":"2024-08-18,271,Austin                   ,18,567
{"":"2024-08-18,272,Port Saint Lucie         ,37,1486
{"":"2024-08-18,273,Hamilton                 ,12,349
{"":"2024-08-18,274,Strongsville             ,6,370.5
{"":"2024-08-18,275,Flower Mound             ,30,1679
{"":"2024-08-18,276,Myrtle Beach             ,19,871
{"":"2024-08-18,277,Algonquin                ,15,510
{"":"2024-08-18,278,Amarillo                 ,17,917
{"":"2024-08-18,279,San Jose                 ,8,278.5
{"":"2024-08-18,280,Oklahoma City            ,7,226
{"":"2024-08-18,282,Sarasota                 ,14,959
{"":"2024-08-18,283,Naples                   ,35,2347
{"":"2024-08-18,284,Cherry Hill              ,46,1986.5
{"":"2024-08-18,285,Canton                   ,25,1497
{"":"2024-08-18,286,Fresno                   ,31,1519.5
{"":"2024-08-18,288,Burnsville               ,16,619
{"":"2024-08-18,289,Plymouth                 ,13,581
{"":"2024-08-18,290,Dothan                   ,32,1087.5
{"":"2024-08-18,291,Fairview Park            ,10,534
{"":"2024-08-18,292,Papillion                ,11,596.5
{"":"2024-08-18,294,Manchester               ,6,202
{"":"2024-08-18,295,Jacksonville             ,19,1029
{"":"2024-08-18,296,Casa Grande              ,7,382
{"":"2024-08-18,298,Montgomery               ,6,242.5
{"":"2024-08-18,300,Harker Heights           ,9,274
{"":"2024-08-18,301,Las Vegas                ,27,1106
{"":"2024-08-18,302,El Paso                  ,15,755
{"":"2024-08-18,303,El Paso                  ,23,1051.5
{"":"2024-08-18,304,Mentor                   ,6,130
{"":"2024-08-18,305,Fort Worth               ,21,1035.5
{"":"2024-08-18,307,San Antonio              ,19,1093.5
{"":"2024-08-18,308,Chattanooga              ,15,528.5
{"":"2024-08-18,309,New Hartford             ,27,1173.9
{"":"2024-08-18,311,Tuscaloosa               ,18,565.5
{"":"2024-08-18,312,Slidell                  ,10,514.5
{"":"2024-08-18,313,Grand Junction           ,26,1158
{"":"2024-08-18,314,Stockton                 ,19,698.5
{"":"2024-08-18,315,Noblesville              ,6,284
{"":"2024-08-18,316,Memphis                  ,13,351
{"":"2024-08-18,317,Midland                  ,17,974.5
{"":"2024-08-18,319,Henrietta                ,29,1326.5
{"":"2024-08-18,321,Everett                  ,22,1229
{"":"2024-08-18,322,Gresham                  ,31,1528
{"":"2024-08-18,324,Webster                  ,20,815.5
{"":"2024-08-18,325,Destin                   ,18,902
{"":"2024-08-18,326,College Station          ,17,671.5
{"":"2024-08-18,329,Ocala                    ,19,887
{"":"2024-08-18,330,Springfield              ,28,1745
{"":"2024-08-18,331,Greensboro               ,20,939.5
{"":"2024-08-18,332,Amherst                  ,31,1222.5
{"":"2024-08-18,333,Fort Collins             ,6,138.5
{"":"2024-08-18,334,Des Moines               ,4,232
{"":"2024-08-18,335,Kissimmee                ,28,1189
{"":"2024-08-18,336,Birmingham               ,8,421.5
{"":"2024-08-18,337,Baton Rouge              ,13,672.5
{"":"2024-08-18,338,Bourbonnais              ,22,1306.5
