Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-04,0360,33,1591
{"":"2024-08-04,0362,19,737.5
{"":"2024-08-04,0364,22,780
{"":"2024-08-04,0366,14,1007
{"":"2024-08-04,0368,24,1293.5
{"":"2024-08-04,0370,13,519.5
{"":"2024-08-04,0372,15,667.5
{"":"2024-08-04,0374,40,1844
{"":"2024-08-04,0376,32,1341.5
{"":"2024-08-04,0378,5,146.5
{"":"2024-08-04,0382,17,809
{"":"2024-08-04,0384,14,718.5
{"":"2024-08-04,0386,1,15
{"":"2024-08-04,0388,14,641
{"":"2024-08-04,0390,19,852
{"":"2024-08-04,0392,5,237
{"":"2024-08-04,0394,26,1145.5
{"":"2024-08-04,0396,5,189
{"":"2024-08-04,0398,49,2295
{"":"2024-08-04,0404,21,1015
{"":"2024-08-04,0406,21,1261.5
{"":"2024-08-04,0408,15,498
{"":"2024-08-04,0410,37,1816
{"":"2024-08-04,0412,16,641.5
{"":"2024-08-04,0414,28,1361.5
{"":"2024-08-04,0416,19,862
{"":"2024-08-04,0418,6,278.5
{"":"2024-08-04,0420,12,686
{"":"2024-08-04,0422,13,580
{"":"2024-08-04,0426,12,636
{"":"2024-08-04,0428,18,888
{"":"2024-08-04,0430,0,0
{"":"2024-08-04,0432,9,462.5
{"":"2024-08-04,0434,5,367.5
{"":"2024-08-04,0436,19,826
{"":"2024-08-04,0438,10,488
{"":"2024-08-04,0440,22,920.5
{"":"2024-08-04,0442,12,809.5
{"":"2024-08-04,0444,4,185.5
{"":"2024-08-04,0446,11,469
{"":"2024-08-04,0448,22,1082
{"":"2024-08-04,0450,6,346
{"":"2024-08-04,0454,14,665.5
{"":"2024-08-04,0456,15,922
{"":"2024-08-04,0458,11,723.5
{"":"2024-08-04,0460,27,1186
{"":"2024-08-04,0462,9,612
{"":"2024-08-04,0464,18,685.5
{"":"2024-08-04,0466,11,417
{"":"2024-08-04,0468,15,703.5
{"":"2024-08-04,0470,5,212.5
{"":"2024-08-04,0472,11,322
{"":"2024-08-04,0474,13,622.5
{"":"2024-08-04,0476,21,940.5
{"":"2024-08-04,0480,10,450
{"":"2024-08-04,0482,4,152
{"":"2024-08-04,0484,13,599
{"":"2024-08-04,0488,12,859.5
{"":"2024-08-04,0490,22,915
{"":"2024-08-04,0492,10,578
{"":"2024-08-04,0494,12,771
{"":"2024-08-04,0496,2,101.5
{"":"2024-08-04,0498,6,244.5
{"":"2024-08-04,0502,0,0
{"":"2024-08-04,0536,1,48
{"":"2024-08-04,0602,20,988
{"":"2024-08-04,0604,17,654.5
{"":"2024-08-04,0610,14,425
{"":"2024-08-04,0612,9,530.5
{"":"2024-08-04,0614,-2,-247
{"":"2024-08-04,0616,15,794.5
{"":"2024-08-04,0618,10,564.5
{"":"2024-08-04,0620,9,282.5
{"":"2024-08-04,0622,7,339.5
{"":"2024-08-04,0624,23,1253
{"":"2024-08-04,0626,6,335
{"":"2024-08-04,0632,6,286
{"":"2024-08-04,0634,5,205
{"":"2024-08-04,0638,22,997
{"":"2024-08-04,0640,17,976
{"":"2024-08-04,0642,9,460.5
{"":"2024-08-04,0644,10,495.5
{"":"2024-08-04,0646,35,1867
{"":"2024-08-04,0648,4,177
{"":"2024-08-04,0650,31,1146.5
{"":"2024-08-04,0652,6,277
{"":"2024-08-04,0654,16,871
{"":"2024-08-04,0656,25,1172
{"":"2024-08-04,0658,13,646
{"":"2024-08-04,0660,22,1004
{"":"2024-08-04,0662,28,1595
{"":"2024-08-04,0668,0,0
{"":"2024-08-04,0670,2,31
{"":"2024-08-04,0672,27,1281
{"":"2024-08-04,0674,9,607.5
{"":"2024-08-04,0676,17,917
{"":"2024-08-04,0680,18,682.5
{"":"2024-08-04,0682,0,0
{"":"2024-08-04,0684,10,592
{"":"2024-08-04,0686,9,387
{"":"2024-08-04,0688,11,563
{"":"2024-08-04,0690,4,196
{"":"2024-08-04,0692,13,781
{"":"2024-08-04,0694,11,682.5
{"":"2024-08-04,0696,25,1554
{"":"2024-08-04,0700,825,40072.5
{"":"2024-08-04,0701,0,0
{"":"2024-08-04,0708,19,1132.5
{"":"2024-08-04,0710,0,0
{"":"2024-08-04,0712,14,757.5
{"":"2024-08-04,0720,40,2395.5
{"":"2024-08-04,0722,0,0
{"":"2024-08-04,0724,0,0
{"":"2024-08-04,0726,10,236
{"":"2024-08-04,0728,0,0
{"":"2024-08-04,0730,17,669.5
{"":"2024-08-04,0732,11,274.5
{"":"2024-08-04,0734,6,214.5
{"":"2024-08-04,0736,11,544
{"":"2024-08-04,0738,11,491.5
{"":"2024-08-04,0742,13,637.5
{"":"2024-08-04,0744,11,604
{"":"2024-08-04,0746,18,770
{"":"2024-08-04,0750,0,0
{"":"2024-08-04,0754,2,88
{"":"2024-08-04,0756,13,675.5
{"":"2024-08-04,0762,15,1038
{"":"2024-08-04,0764,0,0
{"":"2024-08-04,0766,9,307.5
{"":"2024-08-04,0768,4,239.5
{"":"2024-08-04,0770,15,1024.5
{"":"2024-08-04,0772,12,667.5
{"":"2024-08-04,0774,1,48
{"":"2024-08-04,0776,2,39
{"":"2024-08-04,0780,10,645.5
{"":"2024-08-04,0782,12,641
{"":"2024-08-04,0784,7,402.5
{"":"2024-08-04,0786,4,167
{"":"2024-08-04,0788,9,298.5
{"":"2024-08-04,0790,13,649
{"":"2024-08-04,0792,7,174.5
{"":"2024-08-04,0794,18,931
{"":"2024-08-04,0796,21,1281.5
{"":"2024-08-04,0798,25,936.5
{"":"2024-08-04,0800,291,15297.5
{"":"2024-08-04,0801,0,0
{"":"2024-08-04,0901,0,0
{"":"2024-08-04,0912,9,474.5
{"":"2024-08-04,0914,17,1224.5
{"":"2024-08-04,0916,18,1232
{"":"2024-08-04,0920,15,829.5
{"":"2024-08-04,0922,27,1724.5
{"":"2024-08-04,0924,15,755.5
{"":"2024-08-04,0926,9,389
{"":"2024-08-04,0928,17,618.5
{"":"2024-08-04,0932,11,524
{"":"2024-08-04,0934,16,843
{"":"2024-08-04,0936,17,867
{"":"2024-08-04,0938,0,0
{"":"2024-08-04,0940,24,1087
{"":"2024-08-04,0942,5,98.5
{"":"2024-08-04,0944,7,462.5
{"":"2024-08-04,0946,50,2558
{"":"2024-08-04,0948,16,608.5
{"":"2024-08-04,0954,10,718.5
{"":"2024-08-04,0956,9,382
{"":"2024-08-04,0958,19,997
{"":"2024-08-04,1000,751,34673.5
{"":"2024-08-04,1001,0,0
{"":"2024-08-04,1010,0,0
{"":"2024-08-04,1020,549,27980.5
{"":"2024-08-04,1021,0,0
{"":"2024-08-04,1030,0,0
{"":"2024-08-04,1050,0,0
{"":"2024-08-04,1100,30,1628.5
{"":"2024-08-04,1102,6,117
{"":"2024-08-04,1104,21,1032.5
{"":"2024-08-04,1108,12,534.5
{"":"2024-08-04,1114,19,1103
{"":"2024-08-04,1116,2,78
{"":"2024-08-04,1118,20,937
{"":"2024-08-04,1120,-1,-69
{"":"2024-08-04,1126,8,491.5
{"":"2024-08-04,1128,16,593.5
{"":"2024-08-04,1130,42,2427.5
{"":"2024-08-04,1134,21,787
{"":"2024-08-04,1136,0,0
{"":"2024-08-04,1138,5,249.5
{"":"2024-08-04,1140,18,1087.5
{"":"2024-08-04,1142,8,600.5
{"":"2024-08-04,1144,35,2024
{"":"2024-08-04,1146,4,127.5
{"":"2024-08-04,1150,17,806.5
{"":"2024-08-04,1152,2,39
{"":"2024-08-04,1154,-2,-88.5
{"":"2024-08-04,1156,17,742.5
{"":"2024-08-04,1158,31,1686.5
{"":"2024-08-04,1160,19,1009.5
{"":"2024-08-04,1162,13,700.5
{"":"2024-08-04,1164,10,428
{"":"2024-08-04,1172,18,709
{"":"2024-08-04,1176,14,622.5
{"":"2024-08-04,1178,18,784
{"":"2024-08-04,1180,29,1477
{"":"2024-08-04,1182,9,451.5
{"":"2024-08-04,1184,22,1200.5
{"":"2024-08-04,1186,11,408
{"":"2024-08-04,1188,13,857
{"":"2024-08-04,1190,8,607
{"":"2024-08-04,1192,13,585
{"":"2024-08-04,1194,5,273.5
{"":"2024-08-04,1198,2,39
{"":"2024-08-04,1200,11,576.5
{"":"2024-08-04,1202,0,0
{"":"2024-08-04,1204,0,0
{"":"2024-08-04,1206,21,1115.5
{"":"2024-08-04,1208,28,1349
{"":"2024-08-04,1210,7,262
{"":"2024-08-04,1212,7,287
{"":"2024-08-04,1214,28,1060.5
{"":"2024-08-04,1216,7,225.5
{"":"2024-08-04,1218,14,709
{"":"2024-08-04,1220,13,392
{"":"2024-08-04,1222,10,551.5
{"":"2024-08-04,1224,9,408.5
{"":"2024-08-04,1228,20,1007
{"":"2024-08-04,1230,46,2407.5
{"":"2024-08-04,1234,6,311
{"":"2024-08-04,1236,20,1002
{"":"2024-08-04,1238,15,608
{"":"2024-08-04,1240,10,551.5
{"":"2024-08-04,1242,18,596.5
{"":"2024-08-04,1244,3,260
{"":"2024-08-04,1246,13,458.5
{"":"2024-08-04,1248,19,962.5
{"":"2024-08-04,1250,30,1441.5
{"":"2024-08-04,1252,21,1035
{"":"2024-08-04,1254,10,495.5
{"":"2024-08-04,1256,10,355.5
{"":"2024-08-04,1258,2,61.5
{"":"2024-08-04,1260,13,486
{"":"2024-08-04,1262,13,719
{"":"2024-08-04,1266,7,376
{"":"2024-08-04,1268,16,849.5
{"":"2024-08-04,1270,27,1491
{"":"2024-08-04,1272,14,631
{"":"2024-08-04,1274,7,368
{"":"2024-08-04,1276,9,306
{"":"2024-08-04,1278,7,274.5
{"":"2024-08-04,1280,9,441
{"":"2024-08-04,1282,5,291
{"":"2024-08-04,1284,5,195
{"":"2024-08-04,1286,6,229
{"":"2024-08-04,1288,6,213
{"":"2024-08-04,1290,11,605.5
{"":"2024-08-04,1292,10,458.5
{"":"2024-08-04,1294,17,800
{"":"2024-08-04,1296,0,0
{"":"2024-08-04,1298,10,462.5
{"":"2024-08-04,1300,18,788
{"":"2024-08-04,1306,22,1160
{"":"2024-08-04,1308,6,250
{"":"2024-08-04,1310,5,182
{"":"2024-08-04,1312,9,486.5
{"":"2024-08-04,1314,3,-16
{"":"2024-08-04,1316,6,407.5
{"":"2024-08-04,1320,7,293.5
{"":"2024-08-04,1322,14,698.5
{"":"2024-08-04,1324,13,580
{"":"2024-08-04,1326,3,184.5
{"":"2024-08-04,1328,13,597
{"":"2024-08-04,1330,8,497
{"":"2024-08-04,1332,16,833
{"":"2024-08-04,1334,15,941
{"":"2024-08-04,1338,14,826
{"":"2024-08-04,1340,10,368.5
{"":"2024-08-04,1342,2,68.5
{"":"2024-08-04,1344,7,371.5
{"":"2024-08-04,1348,14,634.5
{"":"2024-08-04,1350,11,443.5
{"":"2024-08-04,1354,9,407.5
{"":"2024-08-04,1356,9,474
{"":"2024-08-04,1358,7,295.5
{"":"2024-08-04,1360,1,69
{"":"2024-08-04,1364,7,334
{"":"2024-08-04,1366,8,312
{"":"2024-08-04,1368,6,347.5
{"":"2024-08-04,1372,5,258
{"":"2024-08-04,1374,12,450
{"":"2024-08-04,1376,1,55.5
{"":"2024-08-04,1378,10,276.5
{"":"2024-08-04,1380,16,918.5
{"":"2024-08-04,1382,18,1149
{"":"2024-08-04,1384,7,341.5
{"":"2024-08-04,1386,6,253
{"":"2024-08-04,1388,8,506.5
{"":"2024-08-04,1390,11,62.5
{"":"2024-08-04,1392,12,491.5
{"":"2024-08-04,1394,6,277
{"":"2024-08-04,1396,7,345.5
{"":"2024-08-04,1400,4,263.5
{"":"2024-08-04,1402,13,646
{"":"2024-08-04,1404,23,1295.5
{"":"2024-08-04,1406,16,1046.5
{"":"2024-08-04,1408,14,1015
{"":"2024-08-04,1410,9,621.5
{"":"2024-08-04,1412,13,835.5
{"":"2024-08-04,1416,22,1314.5
{"":"2024-08-04,1418,6,196
{"":"2024-08-04,1422,19,1098.5
{"":"2024-08-04,1428,6,145.5
{"":"2024-08-04,1702,16,776
{"":"2024-08-04,1704,5,309
{"":"2024-08-04,1706,9,466
{"":"2024-08-04,1708,4,177
{"":"2024-08-04,1710,12,608.5
{"":"2024-08-04,1712,9,405
{"":"2024-08-04,1714,2,34.5
{"":"2024-08-04,1716,12,575.5
{"":"2024-08-04,1718,8,443.5
{"":"2024-08-04,1720,8,473.5
{"":"2024-08-04,1724,10,511.5
{"":"2024-08-04,1730,12,500
{"":"2024-08-04,1738,8,337
{"":"2024-08-04,1740,11,619.5
{"":"2024-08-04,1742,7,322
{"":"2024-08-04,1744,13,396.5
{"":"2024-08-04,1748,1,118
{"":"2024-08-04,1750,15,963.5
{"":"2024-08-04,1752,10,436.5
{"":"2024-08-04,1764,7,299.5
{"":"2024-08-04,1766,8,350.5
{"":"2024-08-04,1776,12,615
{"":"2024-08-04,1778,13,666
{"":"2024-08-04,1782,7,343.5
{"":"2024-08-04,1790,19,974.5
{"":"2024-08-04,1794,6,211.5
{"":"2024-08-04,1800,7,346
{"":"2024-08-04,1814,2,152
{"":"2024-08-04,1822,18,1083.5
{"":"2024-08-04,1824,6,329.5
{"":"2024-08-04,1830,25,1419
{"":"2024-08-04,1836,14,667
{"":"2024-08-04,1844,14,753
{"":"2024-08-04,1848,9,608
{"":"2024-08-04,1850,20,949
{"":"2024-08-04,1856,5,142.5
{"":"2024-08-04,1870,8,425.5
{"":"2024-08-04,1876,10,531
{"":"2024-08-04,1878,17,982.5
{"":"2024-08-04,1882,3,137.5
{"":"2024-08-04,1884,11,447
{"":"2024-08-04,1890,9,606
{"":"2024-08-04,1892,23,534.5
{"":"2024-08-04,1894,6,371.5
{"":"2024-08-04,1896,9,581
{"":"2024-08-04,1898,10,593.5
{"":"2024-08-04,1902,23,1359.5
{"":"2024-08-04,1906,7,273.5
{"":"2024-08-04,1910,13,570
{"":"2024-08-04,1912,7,239.5
{"":"2024-08-04,1916,10,516
{"":"2024-08-04,1920,15,707.5
{"":"2024-08-04,1924,2,97.5
{"":"2024-08-04,1934,3,94
{"":"2024-08-04,1936,5,235
{"":"2024-08-04,1940,8,138.5
{"":"2024-08-04,1942,9,560
{"":"2024-08-04,1946,7,388.5
{"":"2024-08-04,1948,14,602.5
{"":"2024-08-04,1952,14,622.5
{"":"2024-08-04,1954,9,419
{"":"2024-08-04,1956,8,477
{"":"2024-08-04,1958,7,283
{"":"2024-08-04,1960,6,258.5
{"":"2024-08-04,1968,8,465
{"":"2024-08-04,1972,24,962.5
{"":"2024-08-04,1980,5,230
{"":"2024-08-04,1988,15,730.5
{"":"2024-08-04,2002,12,417.5
{"":"2024-08-04,2008,4,213
{"":"2024-08-04,2010,9,533.5
{"":"2024-08-04,2016,1,55
{"":"2024-08-04,2018,6,258.5
{"":"2024-08-04,2020,7,421
{"":"2024-08-04,2024,13,576
{"":"2024-08-04,2034,7,187.5
{"":"2024-08-04,2036,5,201
{"":"2024-08-04,2050,8,263.5
{"":"2024-08-04,2058,4,307
{"":"2024-08-04,2060,2,58.5
{"":"2024-08-04,2064,13,690.5
{"":"2024-08-04,2066,15,688
{"":"2024-08-04,2068,19,1108.5
{"":"2024-08-04,2072,5,194
{"":"2024-08-04,2076,14,694.5
{"":"2024-08-04,2078,6,307
{"":"2024-08-04,2080,10,545.5
{"":"2024-08-04,2082,3,136.5
{"":"2024-08-04,2086,3,67
{"":"2024-08-04,2088,10,544.5
{"":"2024-08-04,2090,12,539.5
{"":"2024-08-04,2092,15,463.5
{"":"2024-08-04,2104,9,576
{"":"2024-08-04,2108,6,228
{"":"2024-08-04,2112,11,529.5
{"":"2024-08-04,2118,7,316.5
{"":"2024-08-04,2148,0,0
{"":"2024-08-04,2158,1,39.5
{"":"2024-08-04,2170,5,112.5
{"":"2024-08-04,2176,11,637.5
{"":"2024-08-04,2180,23,872
{"":"2024-08-04,2188,7,342.5
{"":"2024-08-04,2202,6,214.5
{"":"2024-08-04,2206,3,128
{"":"2024-08-04,2208,3,177
