Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-04,0001,0,0
{"":"2024-08-04,0010,9,408
{"":"2024-08-04,0012,17,825
{"":"2024-08-04,0014,10,497.5
{"":"2024-08-04,0016,13,854
{"":"2024-08-04,0018,31,1701
{"":"2024-08-04,0020,46,2008
{"":"2024-08-04,0022,20,754.5
{"":"2024-08-04,0024,16,788
{"":"2024-08-04,0026,19,980.5
{"":"2024-08-04,0028,18,880
{"":"2024-08-04,0030,18,935.5
{"":"2024-08-04,0032,14,477.5
{"":"2024-08-04,0034,21,1004.5
{"":"2024-08-04,0036,18,1031
{"":"2024-08-04,0038,36,1593
{"":"2024-08-04,0040,2,39
{"":"2024-08-04,0044,7,362
{"":"2024-08-04,0046,16,512.5
{"":"2024-08-04,0048,19,1090.5
{"":"2024-08-04,0050,23,852.5
{"":"2024-08-04,0052,9,655
{"":"2024-08-04,0054,4,120.5
{"":"2024-08-04,0056,7,482
{"":"2024-08-04,0058,23,939.5
{"":"2024-08-04,0060,7,214.5
{"":"2024-08-04,0062,20,805.5
{"":"2024-08-04,0064,17,832.5
{"":"2024-08-04,0066,20,789.5
{"":"2024-08-04,0068,31,1338.5
{"":"2024-08-04,0070,8,274.5
{"":"2024-08-04,0072,8,359.5
{"":"2024-08-04,0074,26,1445.5
{"":"2024-08-04,0076,5,191
{"":"2024-08-04,0078,43,1856.5
{"":"2024-08-04,0080,4,272
{"":"2024-08-04,0082,12,442.5
{"":"2024-08-04,0084,29,1519.5
{"":"2024-08-04,0086,10,543
{"":"2024-08-04,0088,6,365
{"":"2024-08-04,0090,14,728
{"":"2024-08-04,0092,18,824
{"":"2024-08-04,0094,5,134.5
{"":"2024-08-04,0096,34,1417.5
{"":"2024-08-04,0098,22,1032
{"":"2024-08-04,0100,41,2126.5
{"":"2024-08-04,0102,7,279.5
{"":"2024-08-04,0104,15,603
{"":"2024-08-04,0106,33,1720
{"":"2024-08-04,0108,3,108
{"":"2024-08-04,0110,33,1453
{"":"2024-08-04,0112,55,3146.5
{"":"2024-08-04,0114,19,663.5
{"":"2024-08-04,0116,18,738
{"":"2024-08-04,0120,46,1825.5
{"":"2024-08-04,0122,13,654.5
{"":"2024-08-04,0124,33,1477.5
{"":"2024-08-04,0126,12,496.5
{"":"2024-08-04,0130,12,445.5
{"":"2024-08-04,0132,15,980
{"":"2024-08-04,0134,13,810.5
{"":"2024-08-04,0138,13,705.5
{"":"2024-08-04,0140,0,0
{"":"2024-08-04,0142,14,605.5
{"":"2024-08-04,0144,6,238
{"":"2024-08-04,0146,8,368
{"":"2024-08-04,0148,33,1439.5
{"":"2024-08-04,0150,12,351.5
{"":"2024-08-04,0152,5,224.5
{"":"2024-08-04,0154,9,307.5
{"":"2024-08-04,0156,34,1864
{"":"2024-08-04,0158,8,432
{"":"2024-08-04,0160,5,362
{"":"2024-08-04,0162,2,88.5
{"":"2024-08-04,0164,11,415.5
{"":"2024-08-04,0166,9,280
{"":"2024-08-04,0168,18,829
{"":"2024-08-04,0170,6,392
{"":"2024-08-04,0172,10,498.5
{"":"2024-08-04,0176,3,108
{"":"2024-08-04,0178,7,384
{"":"2024-08-04,0182,10,301
{"":"2024-08-04,0184,7,412
{"":"2024-08-04,0186,18,972
{"":"2024-08-04,0190,3,114.5
{"":"2024-08-04,0192,18,1015
{"":"2024-08-04,0194,5,160
{"":"2024-08-04,0196,30,1413
{"":"2024-08-04,0198,38,1757.5
{"":"2024-08-04,0200,24,728
{"":"2024-08-04,0202,19,878.5
{"":"2024-08-04,0204,14,632.5
{"":"2024-08-04,0206,12,755.5
{"":"2024-08-04,0208,12,616
{"":"2024-08-04,0210,13,579.5
{"":"2024-08-04,0212,3,58.5
{"":"2024-08-04,0214,19,748
{"":"2024-08-04,0218,5,43.5
{"":"2024-08-04,0220,12,630.5
{"":"2024-08-04,0222,22,1116
{"":"2024-08-04,0224,11,402
{"":"2024-08-04,0226,7,275
{"":"2024-08-04,0228,5,147
{"":"2024-08-04,0232,18,881
{"":"2024-08-04,0236,4,166.5
{"":"2024-08-04,0238,7,341
{"":"2024-08-04,0240,14,651
{"":"2024-08-04,0242,28,1395.5
{"":"2024-08-04,0246,16,1191.5
{"":"2024-08-04,0248,14,694
{"":"2024-08-04,0250,29,1491
{"":"2024-08-04,0254,20,876.5
{"":"2024-08-04,0256,22,1013
{"":"2024-08-04,0258,6,421.5
{"":"2024-08-04,0260,25,837
{"":"2024-08-04,0262,15,703.5
{"":"2024-08-04,0264,15,749
{"":"2024-08-04,0266,27,1142
{"":"2024-08-04,0268,14,743.5
{"":"2024-08-04,0270,14,511
{"":"2024-08-04,0272,6,377
{"":"2024-08-04,0274,22,1149
{"":"2024-08-04,0276,6,367
{"":"2024-08-04,0278,10,514
{"":"2024-08-04,0280,11,491
{"":"2024-08-04,0282,6,338
{"":"2024-08-04,0284,3,177.5
{"":"2024-08-04,0286,10,351.5
{"":"2024-08-04,0288,8,347.5
{"":"2024-08-04,0290,20,721.5
{"":"2024-08-04,0292,5,251.5
{"":"2024-08-04,0294,27,1607.5
{"":"2024-08-04,0296,16,653
{"":"2024-08-04,0298,5,400
{"":"2024-08-04,0300,1,19.5
{"":"2024-08-04,0302,68,2980
{"":"2024-08-04,0304,41,1969.5
{"":"2024-08-04,0306,8,156
{"":"2024-08-04,0308,24,1268
{"":"2024-08-04,0310,55,2431.5
{"":"2024-08-04,0312,31,1535.5
{"":"2024-08-04,0314,84,4277
{"":"2024-08-04,0316,26,1377.5
{"":"2024-08-04,0318,21,734
{"":"2024-08-04,0320,21,1053.5
{"":"2024-08-04,0322,13,536
{"":"2024-08-04,0324,5,117
{"":"2024-08-04,0326,23,1458
{"":"2024-08-04,0328,19,739
{"":"2024-08-04,0330,20,930
{"":"2024-08-04,0332,61,3701
{"":"2024-08-04,0334,22,1199.5
{"":"2024-08-04,0336,35,1369.5
{"":"2024-08-04,0338,15,730.5
{"":"2024-08-04,0340,14,929.5
{"":"2024-08-04,0346,29,1270
{"":"2024-08-04,0348,22,932.5
{"":"2024-08-04,0350,17,1075
{"":"2024-08-04,0352,45,1780
{"":"2024-08-04,0354,10,481.5
{"":"2024-08-04,0356,53,2223.5
{"":"2024-08-04,0358,21,904.5
